listing_id,name,host_id,host_name,host_city,host_state,host_country,neighbourhood,property_type,room_type,review_scores_rating
27566540,The Lux at Leidse Square 3th Floor,178187873,Marcel And Pauline,Amsterdam,North Holland,The Netherlands,Centrum-Oost,Entire apartment,Entire home/apt,93
27569750,Cozy and quite room in Amsterdam Zuid,70048505,Valentina,Sydney,New South Wales,Australia,Buitenveldert - Zuidas,Private room in apartment,Private room,
27588936,Bright studio apartment in the city centre,24321969,Esmée,Amsterdam,North Holland,The Netherlands,Centrum-Oost,Entire apartment,Entire home/apt,100
27590549,Spacious Amsterdam family house + yard & parking,8162073,Cnaan,Amsterdam,North Holland,The Netherlands,Noord-West,Entire house,Entire home/apt,94
27591911,Beautiful appartment nearby the city centre,55023707,Michaela,Amsterdam,North Holland,The Netherlands,Bos en Lommer,Entire apartment,Entire home/apt,92
27595911,Anny's warehouse city centre!,115770966,Anny,Amsterdam,North Holland,The Netherlands,Centrum-West,Room in bed and breakfast,Hotel room,96
27600742,Single bedroom with private sink,138583516,Tjibbe,Amsterdam,North Holland,The Netherlands,Bos en Lommer,Private room in apartment,Private room,97
27601894,Nice modern Apartment close to RAI fair center,49007744,Emile,Brasilia,State of São Paulo,Brazil,De Pijp - Rivierenbuurt,Entire apartment,Entire home/apt,100
27602107,Luxury loft in city centre,42350347,Pieter,Amsterdam,North Holland,The Netherlands,De Pijp - Rivierenbuurt,Entire apartment,Entire home/apt,
27602112,Cozy appartement in Amsterdam with balcony,207083204,Evert,The Netherlands,,,Oud-Oost,Entire apartment,Entire home/apt,95
